tag,iteration,case,method,score
contemp_hydrolysis_uncertainty,48,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",14.50552127809131
contemp_hydrolysis_uncertainty,48,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-12.428273679347392
contemp_hydrolysis_uncertainty,48,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.077247598743908
contemp_hydrolysis_uncertainty,49,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",10.948941429400595
contemp_hydrolysis_uncertainty,49,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.559326636443492
contemp_hydrolysis_uncertainty,49,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.6103852070428928
contemp_hydrolysis_uncertainty,50,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",31.842693465661743
contemp_hydrolysis_uncertainty,50,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.835728690926025
contemp_hydrolysis_uncertainty,50,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",21.00696477473566
contemp_hydrolysis_uncertainty,51,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",30.874309850105764
contemp_hydrolysis_uncertainty,51,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.79686871373223
contemp_hydrolysis_uncertainty,51,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",20.077441136373487
contemp_hydrolysis_uncertainty,52,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",25.31409940535684
contemp_hydrolysis_uncertainty,52,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.436581358670592
contemp_hydrolysis_uncertainty,52,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",14.87751804668626
contemp_hydrolysis_uncertainty,53,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",18.760979531690975
contemp_hydrolysis_uncertainty,53,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.8970570167162
contemp_hydrolysis_uncertainty,53,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.86392251497474
contemp_hydrolysis_uncertainty,54,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",23.619792847551555
contemp_hydrolysis_uncertainty,54,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.557463831920437
contemp_hydrolysis_uncertainty,54,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",12.062329015631109
contemp_hydrolysis_uncertainty,55,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",31.724066237026452
contemp_hydrolysis_uncertainty,55,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.855809387792851
contemp_hydrolysis_uncertainty,55,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",19.868256849233628
contemp_hydrolysis_uncertainty,56,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",34.19172092494193
contemp_hydrolysis_uncertainty,56,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.3123257835199
contemp_hydrolysis_uncertainty,56,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.879395141422023
contemp_hydrolysis_uncertainty,57,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",24.488096492714103
contemp_hydrolysis_uncertainty,57,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.015559747354676
contemp_hydrolysis_uncertainty,57,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",13.472536745359397
contemp_hydrolysis_uncertainty,58,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",31.159966752858956
contemp_hydrolysis_uncertainty,58,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.598920158800812
contemp_hydrolysis_uncertainty,58,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",19.56104659405821
contemp_hydrolysis_uncertainty,59,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.569321684577766
contemp_hydrolysis_uncertainty,59,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.805838561524029
contemp_hydrolysis_uncertainty,59,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.763483123053753
contemp_hydrolysis_uncertainty,60,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",29.05793432601941
contemp_hydrolysis_uncertainty,60,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.519311075135896
contemp_hydrolysis_uncertainty,60,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",18.538623250883514
contemp_hydrolysis_uncertainty,61,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",21.07520830174898
contemp_hydrolysis_uncertainty,61,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.447982911819153
contemp_hydrolysis_uncertainty,61,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.627225389929805
contemp_hydrolysis_uncertainty,62,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",20.56685314698706
contemp_hydrolysis_uncertainty,62,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.101064228283578
contemp_hydrolysis_uncertainty,62,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",10.465788918703522
contemp_hydrolysis_uncertainty,63,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",18.189513936410577
contemp_hydrolysis_uncertainty,63,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.885595871154594
contemp_hydrolysis_uncertainty,63,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.303918065256015
contemp_hydrolysis_uncertainty,64,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.856139638900835
contemp_hydrolysis_uncertainty,64,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.749527006849151
contemp_hydrolysis_uncertainty,64,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",12.106612632051707
contemp_hydrolysis_uncertainty,65,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",21.858005185239573
contemp_hydrolysis_uncertainty,65,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.978647504071818
