tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,19,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.011346190237392032
contemp_al_base_routes_uncertainty_rewire_embedded,19,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.83049976997936
contemp_al_base_routes_uncertainty_rewire_embedded,19,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.81915357974204
contemp_al_base_routes_uncertainty_rewire_embedded,19,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.81915357974204
contemp_al_base_routes_uncertainty_rewire_embedded,19,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.53298158960666
contemp_al_base_routes_uncertainty_rewire_embedded,19,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-44.336058525682944
contemp_al_base_routes_uncertainty_rewire_embedded,19,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10601831310111258
contemp_al_base_routes_uncertainty_rewire_embedded,19,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10601831310111258
contemp_al_base_routes_uncertainty_rewire_embedded,20,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.01355082009664932
contemp_al_base_routes_uncertainty_rewire_embedded,20,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-63.44360003888855
contemp_al_base_routes_uncertainty_rewire_embedded,20,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-63.43004921879191
contemp_al_base_routes_uncertainty_rewire_embedded,20,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-63.43004921879191
contemp_al_base_routes_uncertainty_rewire_embedded,20,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.65012023376634
contemp_al_base_routes_uncertainty_rewire_embedded,20,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.12774156582664
contemp_al_base_routes_uncertainty_rewire_embedded,20,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10582512168854988
contemp_al_base_routes_uncertainty_rewire_embedded,20,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10582512168854988
